user_id,01,02,03,04,05,06,07,08,09,10,11,total,rank
6434534,59.151,72.303,57.334,61.929,58.553,61.766,66.331,59.256,64.681,54.232,53.466,669.002,58
634346,60.007,63.056,57.814,59.146,57.055,59.661,65.150,56.779,76.411,54.888,58.937,668.904,60
533701,59.340,61.752,56.061,61.432,57.546,59.834,66.555,57.544,76.713,53.941,58.116,668.834,63
136852,59.116,73.892,58.666,64.064,56.119,60.454,63.636,54.967,64.077,51.876,60.250,667.117,112
3001,58.185,73.977,54.515,62.191,57.769,61.777,63.593,59.551,65.674,52.174,57.151,666.557,134
3546,58.417,63.758,55.235,61.663,53.973,59.097,63.053,58.363,77.999,55.959,59.031,666.548,135
175,58.185,63.078,53.959,63.913,55.462,59.686,64.683,58.154,76.806,54.649,57.959,666.534,136
326,57.809,61.606,58.449,61.194,54.038,61.040,63.278,58.001,76.038,55.733,59.345,666.531,137
3591,58.185,73.465,55.787,60.958,57.497,59.382,65.753,58.279,63.763,54.524,58.820,666.413,144
64122,58.804,71.441,55.326,61.840,54.374,59.641,65.550,56.899,68.820,56.584,56.514,665.793,188
60059,58.185,62.929,53.959,60.639,54.942,61.208,62.564,59.592,76.208,55.762,58.372,664.360,318
121820,61.098,72.150,58.767,62.410,54.933,58.809,62.761,59.045,66.596,48.907,58.874,664.350,323
266,58.185,73.977,54.515,62.191,57.769,59.161,63.712,57.103,65.520,54.280,57.666,664.079,430
11,58.185,72.913,53.959,62.120,57.769,59.686,64.650,58.153,63.021,53.427,60.109,663.992,449
151,55.224,64.274,54.541,62.243,54.687,60.886,64.562,58.858,79.082,55.650,53.411,663.418,564
119,58.897,70.921,57.564,62.002,57.060,59.655,62.295,57.339,66.146,55.654,55.843,663.376,573
284204,60.030,57.781,55.079,61.546,56.113,60.668,63.436,59.485,75.138,52.029,62.020,663.325,585
117821,57.929,62.694,54.679,61.592,54.854,60.665,63.101,59.485,71.682,54.250,62.020,662.951,656
2522,58.780,71.066,56.784,59.089,53.996,56.585,64.268,58.386,67.218,55.733,60.336,662.241,809
580638,58.723,62.438,53.143,59.786,55.440,59.911,66.017,57.522,77.405,56.403,54.983,661.771,922
4279,58.206,72.018,55.878,59.990,57.290,61.043,64.562,58.106,59.958,53.585,60.949,661.585,963
36866,58.099,63.838,54.545,61.877,55.344,61.381,67.154,58.929,66.233,54.406,58.961,660.767,1205
487,58.624,62.175,54.986,62.994,52.232,61.713,66.115,58.258,71.275,52.157,60.109,660.638,1260
11448,57.128,71.970,57.819,59.892,53.070,61.207,63.602,58.678,65.025,54.044,58.049,660.484,1320
1449,58.412,71.096,57.629,61.226,55.037,61.250,67.471,57.000,60.860,53.838,56.061,659.880,1540
453082,58.049,73.196,55.412,62.320,56.383,62.468,66.284,56.965,63.793,49.890,55.092,659.852,1548
18949,57.675,72.202,53.959,60.639,55.033,60.530,62.871,55.766,69.381,52.160,59.412,659.628,1655
7452,57.477,63.630,54.618,60.958,57.497,60.566,64.562,56.244,75.025,54.150,54.901,659.628,1656
11616,58.233,64.342,55.290,62.191,53.773,60.581,65.807,58.868,68.491,54.553,57.477,659.606,1667
4351,59.150,59.260,53.903,62.071,57.304,61.835,60.573,58.119,76.608,53.673,56.959,659.455,1733
26906,57.483,64.543,55.586,60.909,54.007,60.888,65.243,59.219,64.823,56.357,59.813,658.871,2018
227,57.929,62.545,54.812,61.543,56.113,60.581,66.462,58.422,68.820,54.173,57.119,658.519,2207
112594,58.406,71.825,57.729,59.573,53.070,61.207,63.602,57.407,64.445,55.131,55.856,658.251,2428
2748,59.157,63.908,54.857,61.215,56.433,57.478,64.258,59.072,66.132,55.809,59.778,658.097,2515
1693,58.804,61.606,58.385,57.716,55.299,62.699,65.486,55.945,70.843,50.322,60.854,657.959,2606
43,57.360,71.418,58.282,59.573,53.902,61.345,64.167,57.735,65.149,49.772,58.869,657.572,2876
1698,58.185,73.465,54.216,62.120,53.777,61.153,61.809,58.465,66.189,51.654,56.453,657.486,2941
957,57.076,72.131,53.752,61.441,56.676,57.394,64.258,58.292,65.711,54.784,55.945,657.460,2963
21419,58.185,63.078,54.024,62.826,56.756,61.713,66.115,59.049,60.600,53.570,61.499,657.415,3026
34,57.929,62.694,54.679,61.592,57.582,60.071,62.950,59.592,65.400,52.237,62.648,657.374,3057
65,58.233,63.278,54.734,62.120,57.769,59.821,64.975,58.959,64.583,53.324,59.512,657.308,3099
56363,59.849,63.103,58.141,61.542,51.735,61.713,66.115,58.258,63.896,51.995,60.854,657.201,3161
126948,58.575,64.422,57.063,60.405,55.297,57.267,63.961,60.048,63.757,54.051,62.322,657.168,3191
271,58.185,63.078,53.959,63.913,55.462,60.163,64.683,58.154,66.957,54.649,57.959,657.162,3203
7497,58.185,63.078,53.959,63.913,55.462,60.163,64.683,58.154,66.957,54.649,57.959,657.162,3203
181538,60.124,57.138,56.906,59.876,56.599,60.795,63.499,56.512,70.997,54.475,60.161,657.082,3283
158411,57.911,63.521,55.530,60.362,55.981,61.029,65.581,58.094,66.633,54.168,58.154,656.964,3371
2251,58.185,63.630,55.787,60.958,57.497,60.298,64.975,58.332,67.177,53.879,56.086,656.804,3503
165143,58.185,63.630,55.192,60.986,57.284,57.124,65.554,58.366,68.464,55.107,56.460,656.352,3904
6849963,58.860,62.347,54.125,63.210,55.459,61.520,65.191,58.330,66.478,53.176,57.574,656.270,3988
785861,59.420,57.781,57.607,61.820,53.981,61.220,66.491,60.155,63.868,53.035,60.656,656.034,4208
1146,58.185,63.078,53.959,63.913,57.669,60.298,64.975,58.959,62.113,53.324,59.551,656.024,4218
16397,58.185,72.913,50.895,62.120,55.041,57.296,59.390,59.485,65.289,53.253,62.020,655.887,4363
1068,58.437,63.056,54.655,60.711,57.985,62.774,63.655,58.237,64.116,53.702,58.469,655.797,4464
5391,58.537,62.572,55.860,60.039,57.518,60.163,64.683,57.678,66.957,54.649,57.075,655.731,4526
3643,58.233,63.278,54.734,62.120,57.769,60.163,64.683,57.841,63.021,53.524,60.109,655.475,4820
3724,57.978,71.986,53.352,61.960,56.512,59.724,62.876,55.901,62.640,52.499,60.031,655.459,4839
129361,59.518,56.946,55.094,62.980,57.304,59.291,58.891,58.823,77.240,54.572,54.430,655.089,5259
6920,58.412,63.589,55.846,62.986,54.441,57.324,62.454,57.348,67.157,55.834,59.669,655.060,5297
291,58.185,63.078,53.959,63.913,57.669,60.163,64.683,58.154,60.661,53.585,60.949,654.999,5365
3154,59.047,62.716,55.823,62.810,53.481,60.587,62.942,59.592,65.400,52.237,60.354,654.989,5380
3356,57.661,70.842,54.573,60.181,56.611,57.394,64.258,56.851,65.706,54.767,56.032,654.876,5521
4238,58.995,70.362,55.720,58.702,53.582,61.236,66.115,58.258,60.929,52.909,57.925,654.733,5686
1219577,59.420,57.138,53.806,63.243,50.631,60.820,64.562,58.005,77.598,52.169,57.296,654.688,5747
164373,59.572,57.921,54.816,62.101,57.395,57.907,60.727,59.991,68.346,55.157,60.674,654.607,5860
1607,58.185,62.929,55.530,61.628,56.021,62.774,63.655,58.213,60.241,53.846,61.577,654.599,5870
19815,59.420,57.549,54.401,61.546,56.113,60.668,63.436,59.485,78.084,47.156,56.736,654.594,5874
15391,58.131,61.363,58.449,57.848,57.167,60.071,61.402,59.294,65.350,54.839,60.566,654.480,6048
145512,58.798,62.062,58.394,63.088,57.911,62.441,62.625,58.194,64.377,49.023,57.563,654.476,6079
371193,57.848,62.135,56.987,59.892,54.652,59.945,62.270,58.091,68.089,55.111,59.345,654.365,6235
8335,58.131,61.363,56.302,61.371,56.550,59.594,64.625,59.375,62.931,54.266,59.782,654.290,6333
180,58.185,63.630,55.787,60.639,57.497,60.163,64.683,57.051,63.021,53.427,60.205,654.288,6336
472662,59.047,61.539,58.647,64.371,55.993,59.156,61.746,57.779,63.225,54.284,58.428,654.215,6440
48769,58.185,63.630,54.216,60.958,57.497,61.043,64.184,57.630,65.925,52.580,58.235,654.083,6614
6752,57.899,62.299,55.288,61.685,54.561,56.661,64.815,57.456,67.763,56.623,59.011,654.061,6652
35162,57.477,63.630,55.787,60.958,57.368,61.983,64.819,56.267,64.622,53.959,57.130,654.000,6741
755385,58.084,60.573,54.723,62.457,57.086,60.907,61.442,57.361,68.756,55.081,57.332,653.802,7033
18599,58.506,72.112,59.733,61.327,58.199,60.387,63.391,55.090,54.741,51.268,59.030,653.784,7062
4124242,59.420,57.549,55.377,60.807,56.599,59.957,61.663,56.788,70.893,54.475,60.161,653.689,7222
3683924,57.096,72.449,55.050,60.829,51.163,59.821,64.975,58.332,62.533,53.226,58.186,653.660,7250
550781,58.131,71.750,56.984,58.605,53.979,59.318,61.334,56.882,65.338,54.110,57.196,653.627,7301
339825,59.138,72.535,55.956,60.959,56.154,58.035,60.195,54.150,63.365,54.912,58.169,653.568,7389
282509,58.185,63.630,54.216,62.120,54.992,61.713,66.115,58.885,61.426,52.157,60.109,653.548,7419
18210,58.417,62.694,55.655,61.769,57.097,60.163,64.301,58.154,66.957,53.872,54.413,653.492,7510
2733,58.131,71.750,56.984,58.605,53.048,58.409,61.334,57.487,66.412,54.110,57.196,653.466,7552
831978,60.658,58.164,55.050,62.060,54.583,57.898,64.971,59.861,67.319,55.247,57.574,653.385,7684
22291,60.277,57.764,54.964,62.130,55.072,61.983,67.770,56.985,72.195,51.619,52.591,653.350,7730
98873,55.902,73.833,52.458,59.314,55.900,55.275,61.126,58.509,67.671,56.615,56.677,653.280,7856
89576,57.899,62.196,54.175,60.488,54.520,58.743,65.287,58.380,67.771,56.273,57.527,653.259,7896
775,59.391,57.138,56.032,60.889,56.599,59.674,61.663,60.237,68.235,55.156,58.050,653.064,8233
222,59.673,62.966,56.239,58.289,54.006,57.279,64.000,59.658,68.663,55.560,56.725,653.058,8237
251462,58.095,62.937,54.679,61.592,54.854,59.265,61.204,59.592,65.400,53.487,61.939,653.044,8261
58025,58.635,56.787,54.613,63.399,58.162,61.713,66.115,58.885,61.426,52.157,60.949,652.841,8605
8205,58.185,63.630,54.216,62.120,56.643,62.774,63.655,57.111,66.040,53.718,54.661,652.753,8763
149357,58.876,57.769,53.514,62.074,56.300,60.073,62.104,60.092,67.879,56.049,57.981,652.711,8844
1553,59.420,57.549,55.377,60.807,56.599,59.957,61.663,56.788,69.714,54.214,60.492,652.580,9102
13622,58.483,59.861,56.779,61.372,55.000,61.250,65.027,57.981,62.649,53.665,60.505,652.572,9117
5278,59.629,64.698,55.461,61.362,57.076,62.067,64.819,57.637,61.209,54.150,54.435,652.543,9174
28081,59.567,62.984,55.943,61.050,55.898,60.566,64.562,56.244,64.598,54.429,56.646,652.487,9273
3713,58.185,63.078,54.935,60.610,55.305,62.544,65.364,58.489,59.423,53.569,60.949,652.451,9339
13358,57.476,61.823,57.639,59.077,55.669,59.870,61.146,58.158,67.880,56.198,57.467,652.403,9423
670015,58.131,61.915,56.008,61.194,53.899,59.550,62.211,57.510,66.005,56.152,59.746,652.321,9588
2542,57.899,62.544,55.587,60.575,53.902,58.482,64.777,56.185,71.365,54.758,56.143,652.217,9797
4167286,59.188,57.954,54.359,62.742,56.205,60.296,65.509,58.861,69.054,49.980,57.986,652.134,9966
2152,58.656,60.801,57.989,59.673,54.821,61.227,63.814,56.737,67.370,53.509,57.514,652.111,10018
16459,57.455,62.622,53.907,61.605,54.934,58.660,65.248,57.692,66.975,56.713,56.269,652.080,10080
34995,57.183,61.928,56.778,62.000,55.448,57.245,63.966,58.452,69.585,55.977,53.422,651.984,10284
1928,58.233,63.278,55.710,62.297,53.288,60.298,64.975,58.959,62.113,53.112,59.506,651.769,10748
607026,58.185,63.078,54.935,62.297,57.284,59.263,64.664,57.158,65.998,53.267,55.629,651.758,10767
36135,59.391,57.549,55.377,60.807,56.599,59.957,61.663,57.264,69.464,52.574,60.961,651.606,11138
397,58.102,61.241,56.059,59.759,54.172,60.163,64.347,58.154,66.957,54.649,57.959,651.562,11224
5726,58.521,63.896,54.168,61.592,55.089,60.181,65.694,57.021,60.551,54.882,59.925,651.520,11316
4282,58.185,71.975,55.530,61.225,56.145,61.548,64.698,58.012,61.758,47.906,54.490,651.472,11416
3992,60.248,57.553,54.863,61.201,55.965,61.813,62.335,57.661,65.208,54.870,59.595,651.312,11800
154,58.592,73.465,55.347,61.217,50.841,56.917,64.406,57.919,65.259,54.023,53.301,651.287,11866
1756,57.929,62.545,56.250,61.592,55.027,60.075,61.502,58.762,62.723,53.560,60.949,650.914,12712
1332027,59.420,57.338,55.377,62.185,54.576,60.163,64.683,58.154,66.957,55.332,56.624,650.809,13014
918,57.709,62.031,56.897,59.045,52.625,60.024,62.583,57.834,67.218,55.418,59.359,650.743,13181
422046,58.592,64.142,51.321,63.984,55.171,61.328,65.166,58.106,59.958,53.585,59.385,650.738,13198
32965,59.391,57.549,55.377,62.764,54.650,57.983,65.530,58.901,63.452,55.051,60.031,650.679,13395
78940,58.131,61.363,58.449,59.197,56.116,60.463,63.359,58.468,66.832,52.845,55.421,650.644,13572
114989,57.788,62.522,54.640,61.050,50.771,61.506,64.819,58.864,66.180,56.583,55.794,650.517,13948
94317,57.187,62.786,54.946,60.788,57.108,62.961,65.015,58.596,64.178,49.185,57.694,650.444,14156
27602,57.929,62.694,56.250,61.592,54.195,60.075,61.502,58.626,62.723,53.898,60.949,650.433,14192
8474,57.911,63.521,54.734,62.120,54.992,59.886,61.483,58.489,62.577,55.225,59.277,650.215,14832
