user_id,01,02,03,04,05,06,07,08,09,10,11,total,rank
18949,58,92,84,48,62,57,75,54,73,73,64,740,3748
126948,73,75,92,58,62,69,73,41,55,67,73,738,4422
251462,60,79,83,53,53,58,74,47,63,84,80,734,6082
8558090,73,76,82,26,55,83,61,64,71,71,69,731,7651
800,61,78,91,33,47,76,66,51,74,68,72,717,21553
2963,76,93,82,43,58,76,43,49,73,55,69,717,21553
505,68,88,97,46,64,52,59,43,58,69,71,715,24818
234974,55,69,89,35,56,75,60,63,69,67,76,714,26759
3178,58,76,72,42,68,84,63,61,61,54,69,708,39615
121820,70,96,82,52,71,33,70,32,62,64,74,706,44902
184980,73,87,72,61,56,38,74,28,55,75,87,706,44902
785861,80,63,79,30,56,51,83,46,66,72,79,705,47828
267,66,83,84,32,49,71,68,57,62,62,69,703,54211
1693,57,79,82,34,56,72,67,51,66,68,70,702,57621
231901,91,82,79,38,69,80,54,34,54,61,59,701,61193
3724,62,105,83,42,70,52,54,33,57,59,83,700,64955
153415,57,75,81,37,70,47,76,42,51,84,80,700,64955
6849963,67,74,85,48,62,41,49,58,71,75,70,700,64955
2869,65,75,77,53,54,62,64,54,68,57,69,698,73003
3154,62,76,83,53,63,40,55,47,63,82,74,698,73003
6942,49,66,54,59,53,109,55,56,45,58,94,698,73003
34754,56,77,85,31,58,73,72,50,63,63,70,698,73003
60059,57,70,84,48,80,39,55,44,63,73,85,698,73003
339825,67,93,83,45,65,75,39,45,54,66,66,698,73003
90,83,65,78,31,54,66,70,48,61,66,74,696,82029
3781,64,65,84,35,55,71,75,48,69,53,75,694,91861
16397,57,87,80,52,59,47,73,42,52,77,68,694,91861
50685,80,78,77,49,64,59,47,46,72,59,63,694,91861
1749144,83,69,65,38,64,70,77,44,57,65,62,694,91861
2267,68,75,103,42,70,55,63,29,63,56,69,693,97198
18599,62,97,85,26,61,65,70,48,59,62,58,693,97198
117821,64,72,83,53,53,54,75,42,57,69,68,690,114520
1972,86,69,75,38,49,53,69,39,53,76,82,689,120770
16757,57,68,86,31,58,73,66,48,67,61,72,687,133931
101631,80,56,67,27,62,54,75,58,69,66,73,687,133931
20309,62,66,82,16,69,76,60,40,71,62,81,685,148417
28065,72,79,91,58,59,50,32,42,67,75,60,685,148417
309463,80,63,72,31,53,56,68,49,77,67,69,685,148417
226,57,79,79,53,48,54,68,50,57,70,68,683,164142
6123,57,79,82,52,53,50,59,43,62,78,68,683,164142
28231,90,76,61,28,67,67,57,46,62,54,75,683,164142
42175,63,70,92,52,50,48,63,48,67,75,55,683,164142
3161,53,74,81,49,69,39,53,37,70,69,88,682,172579
13623,86,69,64,38,60,41,69,39,61,80,75,682,172579
164373,78,58,62,29,55,53,66,45,65,86,85,682,172579
49782,55,75,77,54,51,59,70,52,48,60,80,681,181261
