user_id,01,02,03,04,05,06,07,08,09,10,total,rank
18949,53.428,81.619,67.126,53.052,65.347,80.818,71.532,56.807,74.751,73.049,677.529,57
1693,53.040,65.837,70.498,48.331,58.398,91.531,68.782,70.575,79.581,66.264,672.837,112
117821,62.545,68.497,67.657,54.854,60.168,75.822,70.441,51.430,85.177,66.443,663.034,463
634346,57.874,69.318,75.452,51.197,60.032,79.941,59.084,61.508,88.597,59.644,662.647,493
181538,81.473,53.266,68.875,51.728,59.686,69.743,66.433,63.541,72.913,71.472,659.130,791
101631,77.673,54.666,65.982,41.632,67.264,75.822,72.070,60.795,72.356,70.269,658.529,860
19815,77.673,52.966,63.782,44.785,60.268,81.383,73.169,51.430,89.905,61.963,657.324,1006
267,51.555,66.232,78.364,42.673,56.445,87.314,74.783,64.736,57.688,74.878,654.668,1447
800,52.796,67.996,74.522,47.174,52.662,89.857,67.472,70.575,61.675,69.779,654.508,1477
284204,76.673,57.666,65.982,42.180,60.268,81.383,73.169,51.430,84.338,60.413,653.502,1661
8558090,63.075,63.094,73.667,53.777,59.661,82.412,62.790,64.294,56.246,74.067,653.083,1737
181409,57.938,62.017,70.304,41.787,67.109,84.063,63.742,65.461,79.188,58.570,650.179,2555
1553,77.673,52.966,63.757,43.978,59.686,65.072,66.323,63.204,80.892,75.272,648.823,3082
251462,58.402,70.580,67.657,56.959,60.168,74.148,69.131,48.730,71.338,71.677,648.790,3096
126948,50.476,72.275,73.519,58.862,63.671,81.596,68.731,46.732,73.191,59.002,648.055,3440
28608,72.964,55.079,76.364,47.410,57.598,85.754,60.417,37.100,75.801,79.173,647.660,3615
3781,52.889,57.345,63.013,54.488,67.910,88.241,65.242,56.815,79.432,60.183,645.558,4728
4124242,77.673,52.966,63.757,43.978,59.686,65.072,66.323,63.204,80.437,71.472,644.568,5292
572,73.180,59.432,68.312,50.874,55.004,83.197,69.364,49.606,71.480,62.041,642.490,6838
49782,47.631,64.638,66.554,54.101,66.441,75.418,63.583,55.510,85.568,62.911,642.355,6946
720,65.972,81.883,68.321,55.637,65.664,58.960,65.290,47.723,66.564,65.256,641.270,8084
586159,73.064,60.367,65.102,45.226,69.479,75.513,68.023,46.708,69.196,68.058,640.736,8606
339825,49.990,86.506,72.976,52.818,63.797,74.776,45.062,55.844,73.551,65.317,640.637,8699
17,75.070,49.966,63.319,49.736,64.367,76.344,71.873,57.976,57.746,72.365,638.762,10672
61,77.673,53.266,68.875,51.728,59.686,67.569,66.323,67.379,52.885,73.337,638.721,10728
8,77.673,53.266,68.875,51.728,59.686,67.569,66.323,67.379,52.885,73.037,638.421,11100
